<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIN,20181016,12.20,12.20,12.20,12.20,100,12.20,12.20,12.20,12.20,0,100,0
VIN,20181011,11.20,11.20,11.20,11.20,100,11.20,11.20,11.20,11.20,0,0,0
VIN,20181004,11.80,11.80,11.80,11.80,100,11.80,11.80,11.80,11.80,0,0,0
VIN,20180925,12.40,12.40,12.40,12.40,100,12.40,12.40,12.40,12.40,0,0,0
VIN,20180905,12.40,12.40,12.40,12.40,2000,12.40,12.40,12.40,12.40,0,0,0
VIN,20180904,11.60,11.60,11.60,11.60,200,11.60,11.60,11.60,11.60,0,0,0
VIN,20180829,11.60,11.60,11.60,11.60,1400,11.60,11.60,11.60,11.60,0,0,1400
VIN,20180828,11.60,11.60,11.60,11.60,500,11.60,11.60,11.60,11.60,0,0,500
VIN,20180827,11.60,11.60,11.60,11.60,500,11.60,11.60,11.60,11.60,0,0,0
VIN,20180821,11.90,12.00,11.90,12.00,300,11.90,12.00,11.90,12.00,0,0,0
VIN,20180813,11.70,11.70,11.70,11.70,2000,11.70,11.70,11.70,11.70,0,0,2000
VIN,20180808,11.70,11.70,11.70,11.70,100,11.70,11.70,11.70,11.70,0,0,0
VIN,20180802,12.70,12.70,12.60,12.70,1500,12.70,12.70,12.60,12.70,0,1500,0
VIN,20180801,11.60,11.60,11.60,11.60,800,11.60,11.60,11.60,11.60,0,0,0
VIN,20180730,13.10,13.10,13.10,13.10,100,13.10,13.10,13.10,13.10,0,100,0
VIN,20180727,11.50,11.50,11.50,11.50,1400,11.50,11.50,11.50,11.50,0,0,0
VIN,20180724,13.00,13.00,13.00,13.00,500,13.00,13.00,13.00,13.00,0,100,0
VIN,20180723,12.70,12.80,12.70,12.80,200,12.70,12.80,12.70,12.80,0,100,100
VIN,20180720,11.20,11.20,11.20,11.20,400,11.20,11.20,11.20,11.20,0,0,0
VIN,20180712,11.50,11.50,11.50,11.50,1000,11.50,11.50,11.50,11.50,0,0,0
VIN,20180706,11.60,11.60,11.60,11.60,100,11.60,11.60,11.60,11.60,0,0,0
VIN,20180612,12.60,12.60,12.60,12.60,100,12.60,12.60,12.60,12.60,0,100,0
VIN,20180608,11.10,11.10,11.10,11.10,3000,12.00,12.00,12.00,12.00,0,0,3000
VIN,20180607,12.67,12.67,11.10,11.10,6100,13.70,13.70,12.00,12.00,0,100,0
VIN,20180606,11.10,11.10,11.10,11.10,200,12.00,12.00,12.00,12.00,0,0,0
VIN,20180528,12.02,12.02,12.02,12.02,100,13.00,13.00,13.00,13.00,0,100,0
VIN,20180524,11.29,11.29,11.19,11.19,200,12.20,12.20,12.10,12.10,0,0,0
VIN,20180516,12.49,12.49,12.49,12.49,400,13.50,13.50,13.50,13.50,0,0,0
VIN,20180515,12.48,12.48,11.37,11.38,300,13.50,13.50,12.30,12.30,0,0,0
VIN,20180514,11.28,11.28,11.28,11.28,200,12.20,12.20,12.20,12.20,0,0,0
